Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour_of_Day
314,6,0,1,4,0,3,9,3,5,2,6,2,7,7,0,0,3,2,8,2,1,2,2,1,4,2,3,2,1,10,2,9
314,6,0,1,4,0,3,10,0,5,2,6,2,0,7,3,0,3,2,2,2,1,2,0,1,4,2,6,5,5,1,2,9
605,0,1,1,4,0,2,4,3,1,3,7,4,7,7,0,0,3,2,8,1,1,2,3,2,5,3,3,2,5,1,1,14
384,0,1,1,4,0,0,14,3,1,3,7,4,5,0,0,0,3,2,8,2,1,2,3,2,5,3,6,5,5,2,2,10
384,0,1,1,5,0,4,12,3,5,2,9,2,5,0,0,0,3,2,8,2,1,2,0,0,0,2,3,2,5,10,2,10
810,1,0,1,4,0,4,14,3,5,3,7,2,5,0,0,0,3,2,6,2,1,2,3,2,5,3,6,5,5,1,2,18
810,1,0,1,2,0,1,0,3,4,3,7,4,6,0,0,0,3,2,8,2,1,2,0,1,0,1,6,5,5,0,2,18
862,5,0,1,4,2,0,0,3,2,3,7,2,5,3,0,0,3,2,8,2,1,2,0,0,3,2,3,2,5,7,2,19
862,5,1,1,4,0,2,7,0,2,2,7,4,5,3,0,0,3,2,8,2,1,2,3,2,5,3,1,2,5,13,2,19
437,2,2,1,1,0,1,15,3,1,2,7,0,6,1,0,0,3,2,1,2,3,2,0,1,1,2,2,2,5,13,2,11
437,2,1,1,1,2,2,0,3,5,2,7,2,5,1,0,0,3,2,8,2,3,2,0,1,1,2,1,2,5,10,2,11
437,2,1,1,4,0,3,14,3,1,3,2,2,5,1,0,0,3,2,2,2,3,2,3,2,5,3,6,5,5,12,2,11
437,2,0,2,4,0,2,0,3,2,3,7,4,5,1,0,0,3,2,8,2,3,2,1,0,0,2,1,2,5,16,2,11
538,4,0,1,2,0,2,9,1,1,3,4,2,5,1,0,0,3,2,6,2,1,2,0,1,1,2,6,5,5,11,2,13
538,4,1,1,4,0,2,17,3,5,2,9,0,5,1,0,0,3,2,8,2,1,2,3,2,5,3,1,2,5,10,2,13
489,5,0,2,4,0,3,0,0,3,2,7,2,5,5,0,3,3,4,8,2,1,2,3,2,5,3,1,2,5,1,2,12
489,5,2,1,4,3,0,5,3,5,2,6,2,5,5,3,3,3,4,8,2,1,2,0,1,0,2,1,2,5,3,2,12
480,0,0,1,4,0,1,17,3,5,2,4,5,5,7,0,0,3,2,8,2,1,2,3,2,5,3,0,2,5,1,2,12
480,0,1,1,4,0,0,11,3,0,2,4,0,5,7,0,0,3,2,8,2,1,2,3,2,5,3,0,2,5,16,2,12
728,3,1,1,5,3,6,17,3,5,2,7,2,5,7,0,0,3,2,2,2,1,2,0,1,4,2,4,2,5,13,2,16
728,3,1,1,1,0,2,9,1,3,3,3,2,5,7,0,0,3,2,8,2,1,2,3,2,5,3,0,2,5,4,2,16
816,1,4,0,4,0,2,9,3,5,3,6,1,5,1,2,0,3,2,8,2,1,2,1,0,3,2,3,2,5,2,2,18
816,1,1,1,4,0,3,0,3,1,2,2,4,5,1,0,0,3,2,2,2,1,2,1,0,1,2,6,5,5,19,2,18
511,4,1,2,4,0,1,17,1,2,2,3,4,7,2,0,0,3,2,2,2,1,2,1,0,1,2,6,5,5,1,2,13
511,4,0,1,4,2,3,0,3,3,2,6,6,5,2,5,0,3,2,8,2,1,11,0,1,0,2,0,2,5,10,2,13
552,6,0,1,4,0,1,5,3,1,2,7,2,0,1,3,0,3,2,8,2,1,2,3,2,5,3,0,2,5,13,2,13
552,6,1,1,1,1,2,9,3,0,3,6,4,5,1,0,0,3,2,8,2,1,2,0,1,0,2,0,2,5,12,2,13
836,1,0,1,1,0,2,4,3,1,3,6,2,7,0,5,0,0,2,8,2,1,7,1,1,0,2,0,2,5,0,2,18
836,1,1,1,4,3,2,0,3,5,2,7,0,3,0,0,0,0,2,2,2,1,2,3,2,5,3,6,5,5,11,2,18
408,4,1,1,4,0,2,0,3,0,2,6,4,6,1,2,0,3,2,8,1,4,2,0,1,0,2,0,2,5,16,2,11
408,4,1,1,1,0,3,0,3,5,2,9,4,5,1,0,0,3,2,8,1,4,2,0,1,3,2,3,2,5,3,2,11
408,4,1,1,4,3,4,1,3,5,3,7,2,5,1,0,0,3,2,8,1,4,2,3,2,5,3,6,5,5,12,2,11
408,4,1,1,4,0,2,9,3,1,3,6,0,5,1,0,0,3,2,8,1,4,2,0,0,1,2,3,2,5,11,2,11
671,5,2,1,1,0,0,4,3,2,3,6,4,7,1,0,0,3,2,8,1,1,9,2,1,1,2,0,2,5,1,1,15
624,6,2,2,5,3,6,17,4,5,3,6,6,5,1,0,0,3,2,8,1,1,2,3,2,5,3,6,2,5,3,2,15
906,3,1,1,4,0,3,17,3,2,2,7,2,6,7,2,0,0,2,2,2,1,2,0,0,0,2,3,5,5,1,2,20
906,3,3,1,2,2,1,0,3,5,2,2,4,5,7,0,0,0,2,8,2,1,2,3,2,5,3,6,2,5,1,2,20
839,6,1,1,4,0,0,4,3,5,2,4,4,5,0,0,3,0,2,1,2,1,2,0,0,1,2,2,2,5,0,1,18
839,6,1,1,4,0,0,5,3,0,2,6,0,5,0,0,3,0,2,2,2,1,2,0,1,0,1,0,5,5,17,1,18
671,3,2,1,0,2,1,8,3,5,2,2,4,5,5,0,0,3,2,2,1,2,2,3,2,5,3,6,5,5,3,2,15
671,3,2,1,5,3,6,4,3,5,3,6,4,5,5,0,0,3,2,8,1,2,9,2,0,4,2,0,2,5,10,2,15
1053,6,2,2,1,2,1,14,3,5,2,6,6,5,0,0,0,0,2,6,2,3,2,0,0,0,2,0,5,5,3,2,23
1053,6,2,1,4,0,0,7,3,5,3,9,2,5,0,0,0,0,2,8,2,3,2,3,2,5,3,6,2,5,0,2,23
1053,6,1,1,5,2,2,7,3,2,3,6,2,5,0,0,0,0,2,8,2,3,7,3,2,5,3,6,2,5,12,2,23
228,1,0,2,4,0,4,4,3,2,3,9,4,5,7,0,0,3,2,8,2,1,2,0,0,1,2,0,2,5,1,1,7
228,1,0,1,4,0,1,17,3,1,3,6,0,5,7,0,0,3,2,8,2,1,2,3,2,5,3,0,2,5,10,1,7
638,3,1,1,4,0,2,0,3,1,2,6,0,5,1,0,0,3,2,8,2,1,7,0,1,0,2,3,2,5,9,0,15
638,3,1,1,4,0,3,5,4,5,2,7,2,5,1,2,0,3,2,8,2,1,2,0,1,1,2,3,2,5,9,0,15
